City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Codrington,AU,-38.2667,141.9667,53.06,56,87,17.16,11/15/21
Beloha,MG,-25.1667,45.05,82.76,47,10,8.72,11/15/21
Grindavik,IS,63.8424,-22.4338,37.87,81,40,24.16,11/15/21
Venaria Reale,IT,45.1239,7.6354,51.78,90,75,1.01,11/15/21
Cape Town,ZA,-33.9258,18.4232,70.09,73,100,1.99,11/15/21
Vanavara,RU,60.34,102.2797,23.76,92,100,6.15,11/15/21
Kavieng,PG,-2.5744,150.7967,84.6,71,69,10.54,11/15/21
El Alto,PE,-4.2714,-81.2147,61.66,83,52,15.28,11/15/21
São João da Barra,BR,-21.6403,-41.0511,68.58,71,68,8.3,11/15/21
Kapaa,US,22.0752,-159.319,73.38,70,1,5.75,11/15/21
Carnarvon,AU,-24.8667,113.6333,76.1,54,1,16.58,11/15/21
Khani,GE,41.9563,42.9566,42.37,52,100,1.03,11/15/21
Sola,VU,-13.8833,167.55,84.87,79,75,0.0,11/15/21
Puerto Madryn,AR,-42.7692,-65.0385,58.48,32,82,20.71,11/15/21
Saint George,US,37.1041,-113.5841,61.54,43,1,0.0,11/15/21
Port Elizabeth,ZA,-33.918,25.5701,71.73,57,100,3.4,11/15/21
Collie,AU,-33.3667,116.15,82.22,27,82,7.99,11/15/21
Casino,AU,-28.8667,153.05,83.57,15,0,11.36,11/15/21
Bambanglipuro,ID,-7.95,110.2833,66.6,70,100,2.39,11/15/21
Maroantsetra,MG,-15.4333,49.7333,79.27,69,45,2.68,11/15/21
Oranjemund,NA,-28.55,16.4333,65.19,74,29,9.31,11/15/21
Esfarāyen,IR,37.0765,57.5101,49.12,37,0,3.94,11/15/21
Vaini,TO,-21.2,-175.2,75.36,83,20,8.05,11/15/21
Hilo,US,19.7297,-155.09,75.79,90,1,0.0,11/15/21
Ambon City,ID,-3.6954,128.1814,82.53,72,91,4.21,11/15/21
Shelburne,CA,44.0787,-80.2041,30.6,99,100,6.69,11/15/21
Labuhan,ID,-6.8844,112.2051,79.83,81,100,6.11,11/15/21
Iqaluit,CA,63.7506,-68.5145,11.93,79,75,6.91,11/15/21
Komono,JP,35.0,136.5167,66.33,48,1,7.43,11/15/21
Nome,US,64.5011,-165.4064,21.27,73,90,11.5,11/15/21
Bluff,NZ,-46.6,168.3333,54.01,90,98,14.45,11/15/21
Weihai,CN,37.5017,122.1136,54.84,55,93,5.5,11/15/21
Tupik,RU,54.4253,119.9327,23.95,50,23,2.1,11/15/21
Port Alfred,ZA,-33.5906,26.891,71.15,62,95,3.65,11/15/21
Mataura,NZ,-46.1927,168.8643,54.77,95,100,3.51,11/15/21
Dingle,PH,10.9995,122.6711,83.84,78,99,10.45,11/15/21
Mina,MX,26.0011,-100.5299,65.07,75,0,4.41,11/15/21
Bambous Virieux,MU,-20.3428,57.7575,81.21,64,66,12.26,11/15/21
Cañete,CL,-37.8,-73.4,49.32,96,59,4.18,11/15/21
Egvekinot,RU,66.3167,-179.1667,7.88,89,100,7.16,11/15/21
Saldanha,ZA,-33.0117,17.9442,65.39,74,100,11.05,11/15/21
Opuwo,NA,-18.0607,13.84,75.45,46,100,6.58,11/15/21
Rikitea,PF,-23.1203,-134.9692,75.0,76,99,15.1,11/15/21
Sisimiut,GL,66.9395,-53.6735,17.42,77,100,6.31,11/15/21
Vila Velha,BR,-20.3297,-40.2925,60.75,94,40,2.3,11/15/21
Hambantota,LK,6.1241,81.1185,86.34,79,40,13.8,11/15/21
Machico,PT,32.7,-16.7667,66.83,79,20,6.91,11/15/21
Torbay,CA,47.6666,-52.7314,47.57,89,92,3.0,11/15/21
Leningradskiy,RU,69.3833,178.4167,14.86,95,100,7.81,11/15/21
Anadyr,RU,64.75,177.4833,30.7,86,75,17.9,11/15/21
Thompson,CA,55.7435,-97.8558,21.65,89,96,4.97,11/15/21
Pangnirtung,CA,66.1451,-65.7125,-1.5,73,2,5.79,11/15/21
Palmer,US,42.1584,-72.3287,41.61,80,90,1.99,11/15/21
Naze,JP,28.3667,129.4833,66.09,55,77,13.4,11/15/21
Arraial do Cabo,BR,-22.9661,-42.0278,68.92,75,46,16.15,11/15/21
Mahébourg,MU,-20.4081,57.7,81.25,64,55,12.64,11/15/21
Hobart,AU,-42.8794,147.3294,50.02,59,40,4.0,11/15/21
Gimli,CA,50.6336,-96.9907,21.43,94,100,8.52,11/15/21
Akdepe,TM,42.0551,59.3788,32.0,51,4,8.34,11/15/21
San Cristobal,VE,7.7669,-72.225,66.83,92,80,1.28,11/15/21
Ancud,CL,-41.8697,-73.8203,42.33,80,100,12.91,11/15/21
Bosaso,SO,11.2842,49.1816,81.09,56,19,3.2,11/15/21
Barrow,US,71.2906,-156.7887,10.42,67,90,14.97,11/15/21
Abonnema,NG,4.7084,6.7931,76.53,88,88,2.77,11/15/21
Nālūt,LY,30.3333,10.85,55.65,38,0,2.84,11/15/21
Liverpool,GB,53.4106,-2.9779,51.51,89,75,1.01,11/15/21
Mar del Plata,AR,-38.0023,-57.5575,62.87,89,0,15.99,11/15/21
Ponta do Sol,PT,32.6667,-17.1,66.83,66,42,5.14,11/15/21
Muyezerskiy,RU,63.9333,31.65,21.81,81,93,7.05,11/15/21
Qaanaaq,GL,77.484,-69.3632,-6.16,60,50,11.48,11/15/21
Severo-Kuril'sk,RU,50.6789,156.125,41.94,96,100,10.71,11/15/21
Vengerovo,RU,55.6848,76.7471,17.42,92,97,10.63,11/15/21
Puerto Ayora,EC,-0.7393,-90.3518,67.19,82,54,8.23,11/15/21
Kaura Namoda,NG,12.5898,6.5779,75.47,26,99,5.7,11/15/21
Melito di Porto Salvo,IT,37.9222,15.7714,60.15,67,20,4.61,11/15/21
Busselton,AU,-33.65,115.3333,81.05,51,89,12.68,11/15/21
Nacala,MZ,-14.5428,40.6728,86.54,56,3,8.14,11/15/21
Havøysund,NO,70.9963,24.6622,32.23,91,100,13.15,11/15/21
Karratha,AU,-20.7377,116.8463,91.89,22,60,13.58,11/15/21
Mvuma,ZW,-19.2792,30.5283,77.79,43,8,6.49,11/15/21
Lagoa,PT,39.05,-27.9833,66.83,86,65,23.94,11/15/21
Cayenne,GF,4.9333,-52.3333,80.1,86,0,1.99,11/15/21
Chui,UY,-33.6971,-53.4616,62.11,94,7,4.7,11/15/21
Longyearbyen,SJ,78.2186,15.6401,17.44,67,20,21.85,11/15/21
Castro,BR,-24.7911,-50.0119,55.63,92,99,5.73,11/15/21
Artyom,AZ,40.4723,50.333,55.54,84,100,14.07,11/15/21
Matagami,CA,49.7502,-77.6328,26.71,99,90,3.44,11/15/21
Kahului,US,20.8947,-156.47,75.85,93,40,4.61,11/15/21
Tiarei,PF,-17.5333,-149.3333,80.62,74,97,4.59,11/15/21
Jamestown,US,42.097,-79.2353,35.19,99,90,5.01,11/15/21
Albany,US,42.6001,-73.9662,38.08,90,100,6.33,11/15/21
Caraquet,CA,47.7941,-64.9386,32.34,94,92,5.48,11/15/21
Saint Anthony,US,45.0205,-93.218,30.92,77,75,4.61,11/15/21
Charters Towers,AU,-20.1,146.2667,92.86,25,0,2.75,11/15/21
Atuona,PF,-9.8,-139.0333,78.48,72,4,16.93,11/15/21
Luís Correia,BR,-2.8792,-41.6669,78.28,85,93,8.86,11/15/21
Arrondissement de Bastia,FR,42.6667,9.3333,57.29,92,90,1.99,11/15/21
Sept-Îles,CA,50.2001,-66.3821,34.32,96,90,13.8,11/15/21
Bahir Dar,ET,11.5936,37.3908,67.48,67,62,3.04,11/15/21
Avarua,CK,-21.2078,-159.775,73.45,78,20,2.3,11/15/21
Lakatoro,VU,-16.0999,167.4164,82.54,74,40,9.89,11/15/21
Waipawa,NZ,-41.4122,175.5153,61.43,69,0,20.56,11/15/21
Krupina,SK,48.3554,19.0647,37.83,88,47,2.86,11/15/21
Aksarka,RU,66.5606,67.7975,1.54,96,80,6.64,11/15/21
Saint Paul Harbor,US,57.79,-152.4072,24.31,68,1,0.0,11/15/21
Balikpapan,ID,-1.2675,116.8289,88.79,58,40,4.61,11/15/21
Mariental,NA,-24.6333,17.9667,83.86,14,0,8.46,11/15/21
Marsá Maţrūḩ,EG,31.3525,27.2453,68.11,68,11,8.34,11/15/21
Puerto Maldonado,PE,-12.6,-69.1833,77.16,76,84,2.24,11/15/21
Mossendjo,CG,-2.9506,12.7261,70.14,98,88,1.25,11/15/21
Ushuaia,AR,-54.8,-68.3,37.06,87,75,21.85,11/15/21
Tuktoyaktuk,CA,69.4541,-133.0374,12.06,94,100,9.35,11/15/21
Homer,US,59.6425,-151.5483,18.03,79,1,3.44,11/15/21
Ürümqi,CN,43.801,87.6005,34.75,48,98,4.47,11/15/21
Saint-François,FR,46.4154,3.9054,46.47,99,90,1.14,11/15/21
Punta Arenas,CL,-53.15,-70.9167,39.31,52,75,13.8,11/15/21
Buchanan,LR,5.8808,-10.0467,76.37,86,14,3.02,11/15/21
Xining,CN,36.6167,101.7667,36.37,28,0,2.59,11/15/21
Tiksi,RU,71.6872,128.8694,-14.24,98,46,6.8,11/15/21
Caravelas,BR,-17.7125,-39.2481,69.89,74,97,7.38,11/15/21
Filingué,NE,14.3521,3.3168,78.55,18,100,8.16,11/15/21
Marrakesh,MA,31.6315,-8.0083,48.27,66,0,3.44,11/15/21
George Town,MY,5.4112,100.3354,89.53,66,20,8.05,11/15/21
Te Anau,NZ,-45.4167,167.7167,47.95,93,100,3.83,11/15/21
Xianyang,CN,34.3378,108.7026,60.82,31,15,2.84,11/15/21
São Filipe,CV,14.8961,-24.4956,75.81,75,44,8.05,11/15/21
Łapy,PL,52.9911,22.8842,40.48,80,100,8.3,11/15/21
Hermanus,ZA,-34.4187,19.2345,67.46,66,100,0.78,11/15/21
Esperance,AU,-33.8667,121.9,76.98,42,87,15.52,11/15/21
Lavrentiya,RU,65.5833,-171.0,11.88,94,84,6.96,11/15/21
Ojinaga,MX,29.5667,-104.4167,59.95,29,1,8.05,11/15/21
Ulladulla,AU,-35.35,150.4667,68.88,44,44,2.89,11/15/21
Airai,TL,-8.9266,125.4092,62.08,94,100,2.89,11/15/21
Antofagasta,CL,-23.65,-70.4,60.08,89,80,0.54,11/15/21
Provideniya,RU,64.3833,-173.3,17.35,91,84,11.86,11/15/21
Huejuquilla el Alto,MX,22.6,-103.8667,54.52,43,92,6.04,11/15/21
Nouadhibou,MR,20.931,-17.0347,68.27,77,97,11.45,11/15/21
Alofi,NU,-19.0595,-169.9187,73.29,73,20,5.75,11/15/21
Tabou,CI,4.423,-7.3528,77.0,87,57,2.8,11/15/21
Iranduba,BR,-3.2847,-60.1861,79.09,92,80,2.46,11/15/21
Chokurdakh,RU,70.6333,147.9167,1.47,97,100,0.54,11/15/21
Schwerin,DE,53.6294,11.4132,44.58,96,1,6.46,11/15/21
Fairbanks,US,64.8378,-147.7164,-6.7,78,90,0.0,11/15/21
Acapulco de Juárez,MX,16.8634,-99.8901,74.88,67,7,4.47,11/15/21
Suez,EG,29.9737,32.5263,69.57,56,17,5.61,11/15/21
Yarmouth,US,41.7057,-70.2286,54.97,80,90,5.99,11/15/21
Faanui,PF,-16.4833,-151.75,76.5,77,100,21.92,11/15/21
Maragheh,IR,37.3917,46.2398,49.01,39,94,2.46,11/15/21
Dikson,RU,73.5069,80.5464,-7.73,99,99,5.35,11/15/21
Bethel,US,41.3712,-73.414,42.57,87,100,3.0,11/15/21
Itoman,JP,26.1247,127.6694,75.58,50,20,16.11,11/15/21
Collierville,US,35.042,-89.6645,44.35,86,53,6.93,11/15/21
Tasiilaq,GL,65.6145,-37.6368,28.56,57,45,10.94,11/15/21
Mount Gambier,AU,-37.8333,140.7667,54.37,47,93,11.77,11/15/21
Tikrit,IQ,34.6071,43.6782,66.42,26,100,6.26,11/15/21
Marquette,US,46.5333,-87.6335,29.68,88,87,9.78,11/15/21
Okha,RU,53.5739,142.9478,26.08,89,100,19.37,11/15/21
Butaritari,KI,3.0707,172.7902,82.22,72,14,15.59,11/15/21
Megion,RU,61.0296,76.1136,-0.38,87,97,5.12,11/15/21
Verkhnevilyuysk,RU,63.4453,120.3167,2.91,99,90,0.96,11/15/21
High Level,CA,58.5169,-117.136,14.97,98,100,3.11,11/15/21
Puerto Asís,CO,0.5133,-76.5007,70.75,94,88,0.67,11/15/21
Haverfordwest,GB,51.8017,-4.9691,56.16,92,100,8.25,11/15/21
Port Lincoln,AU,-34.7333,135.8667,58.19,59,96,15.48,11/15/21
Nurota,UZ,40.5614,65.6886,42.89,54,5,6.8,11/15/21
Klaksvík,FO,62.2266,-6.589,45.52,78,33,27.25,11/15/21
Alice Springs,AU,-23.7,133.8833,80.15,24,32,8.05,11/15/21
New Norfolk,AU,-42.7826,147.0587,49.66,54,51,5.01,11/15/21
Slave Lake,CA,55.2834,-114.769,30.18,100,90,4.61,11/15/21
Lebu,CL,-37.6167,-73.65,52.12,90,46,11.7,11/15/21
Goderich,CA,43.7501,-81.7165,35.91,92,100,13.42,11/15/21
Samarai,PG,-10.6167,150.6667,83.73,77,100,11.36,11/15/21
Narsaq,GL,60.9167,-46.05,10.62,73,2,5.17,11/15/21
Norman Wells,CA,65.282,-126.8329,7.84,96,99,5.1,11/15/21
Marsh Harbour,BS,26.5412,-77.0636,75.7,73,100,10.16,11/15/21
Khovd,MN,48.0056,91.6419,40.23,34,100,2.68,11/15/21
Kisanga,TZ,-7.4362,37.7034,81.41,61,55,6.15,11/15/21
Sri Aman,MY,1.2376,111.4621,85.82,65,99,2.19,11/15/21
Hithadhoo,MV,-0.6,73.0833,82.54,72,93,10.89,11/15/21
Saint-Augustin,CA,51.226,-58.6502,30.49,86,80,9.89,11/15/21
Nikolskoye,RU,59.7035,30.7861,33.87,81,70,1.66,11/15/21
Pisco,PE,-13.7,-76.2167,60.03,88,71,3.44,11/15/21
Alyangula,AU,-13.8483,136.4192,85.51,50,100,13.49,11/15/21
Harper,LR,4.375,-7.7169,77.04,87,52,2.73,11/15/21
Wanning,CN,18.8003,110.3967,76.8,70,81,11.14,11/15/21
Berdigestyakh,RU,62.0989,126.6992,-3.32,98,61,2.46,11/15/21
Govindgarh,IN,27.5,76.9833,77.61,24,0,0.51,11/15/21
Mattru,SL,7.6244,-11.8332,72.93,96,66,1.72,11/15/21
Hunchun,CN,42.8675,130.3581,42.57,32,2,7.45,11/15/21
Cabo San Lucas,MX,22.8909,-109.9124,78.51,44,7,3.04,11/15/21
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,100,90,11.18,11/15/21
Nizwá,OM,22.9333,57.5333,79.86,23,0,0.87,11/15/21
Huarmey,PE,-10.0681,-78.1522,63.39,85,55,7.2,11/15/21
San Andrés,CO,12.5847,-81.7006,82.42,78,40,11.5,11/15/21
Pevek,RU,69.7008,170.3133,20.86,90,100,5.17,11/15/21
Fayetteville,US,35.0527,-78.8784,49.48,69,1,3.0,11/15/21
Ambilobe,MG,-13.2,49.05,89.82,40,3,4.03,11/15/21
Khatanga,RU,71.9667,102.5,-2.13,98,100,5.03,11/15/21
Nampula,MZ,-15.1165,39.2666,83.95,46,61,4.94,11/15/21
Casablanca,MA,33.5928,-7.6192,48.42,72,0,2.82,11/15/21
Jungapeo de Juárez,MX,19.45,-100.4833,55.81,80,12,6.64,11/15/21
Lixouri,GR,38.2019,20.4314,62.46,94,75,10.36,11/15/21
Mossamedes,AO,-15.1961,12.1522,74.21,80,100,4.63,11/15/21
Saint-Philippe,RE,-21.3585,55.7679,84.47,66,55,12.88,11/15/21
Beshpagir,RU,45.0217,42.3808,35.02,81,100,3.44,11/15/21
Vardø,NO,70.3705,31.1107,25.0,70,100,24.96,11/15/21
Raja,SS,8.4596,25.678,81.48,24,31,5.48,11/15/21
Belyy Yar,RU,53.6039,91.3903,40.86,65,0,11.18,11/15/21
Tateyama,JP,34.9833,139.8667,70.02,64,8,10.47,11/15/21
Alta Floresta,BR,-9.8756,-56.0861,69.93,95,100,2.15,11/15/21
Laguna,US,38.421,-121.4238,60.22,95,90,1.01,11/15/21
Hergla,TN,36.0303,10.509,58.86,82,40,2.3,11/15/21
Mingshui,CN,36.7167,117.5,59.9,40,64,4.36,11/15/21
Hervey Bay,AU,-25.2986,152.8535,82.04,63,0,13.98,11/15/21
Huicungo,PE,-7.2833,-76.8,69.24,99,99,1.77,11/15/21
Mazagão,BR,-0.115,-51.2894,80.65,94,53,3.36,11/15/21
Hamilton,US,39.1834,-84.5333,36.37,75,90,1.99,11/15/21
Temyasovo,RU,52.9933,58.1014,12.56,90,100,3.42,11/15/21
Zykovo,RU,55.9519,93.1461,32.74,70,84,13.09,11/15/21
Terenos,BR,-20.4422,-54.8603,74.91,94,75,12.66,11/15/21
Kavaratti,IN,10.5669,72.642,79.38,86,100,18.07,11/15/21
Shakiso,ET,5.75,38.9167,69.49,57,45,5.57,11/15/21
Bredasdorp,ZA,-34.5322,20.0403,69.21,51,100,2.1,11/15/21
Robertsport,LR,6.7533,-11.3686,76.95,86,37,5.84,11/15/21
Erie,US,42.7667,-78.6664,35.31,90,100,1.01,11/15/21
Hasaki,JP,35.7333,140.8333,68.4,56,11,9.66,11/15/21
Yulara,AU,-25.2406,130.9889,81.45,15,27,5.32,11/15/21
Pochutla,MX,15.7432,-96.4661,74.82,63,43,3.74,11/15/21
Dogondoutchi,NE,13.6393,4.0287,79.29,19,98,4.27,11/15/21
Cabedelo,BR,-6.9811,-34.8339,75.87,81,10,10.16,11/15/21
Souillac,MU,-20.5167,57.5167,81.36,60,14,12.5,11/15/21
Nísia Floresta,BR,-6.0911,-35.2086,77.81,88,11,6.85,11/15/21
Shingū,JP,33.7333,135.9833,62.85,54,0,4.21,11/15/21
Geraldton,AU,-28.7667,114.6,75.61,57,0,11.5,11/15/21
San Patricio,US,28.017,-97.5169,73.24,78,0,7.61,11/15/21
Biak,ID,-0.9131,122.8766,83.19,68,100,2.48,11/15/21
Salinópolis,BR,-0.6136,-47.3561,78.44,85,73,7.87,11/15/21
Lata,PT,40.1629,-8.3327,49.82,58,0,3.69,11/15/21
Valley City,US,46.9233,-98.0032,29.39,97,100,8.7,11/15/21
Montevideo,UY,-34.8335,-56.1674,56.82,76,0,0.0,11/15/21
Vila Franca do Campo,PT,37.7167,-25.4333,67.19,87,58,17.65,11/15/21
Cabra,ES,37.4725,-4.4421,38.64,63,0,5.12,11/15/21
Sarkand,KZ,45.41,79.9186,40.15,60,100,17.92,11/15/21
Vostok,RU,46.4856,135.8833,19.26,75,58,11.18,11/15/21
Hukuntsi,BW,-24.0,21.75,85.95,15,13,12.71,11/15/21
São José da Coroa Grande,BR,-8.8978,-35.1478,77.56,83,16,8.75,11/15/21
Yangi Marg`ilon,UZ,40.4272,71.7189,50.72,62,40,9.22,11/15/21
La Palma,US,33.8464,-118.0467,80.94,62,1,0.0,11/15/21
Dzerzhinsk,RU,56.2389,43.4631,30.02,80,90,13.42,11/15/21
Nanortalik,GL,60.1432,-45.2371,21.61,60,0,39.88,11/15/21
Kathmandu,NP,27.7167,85.3167,66.42,52,20,4.61,11/15/21
Padang,ID,-0.9492,100.3543,87.85,67,99,4.99,11/15/21
Petauke,ZM,-14.2426,31.3253,78.03,51,71,10.58,11/15/21
Manokwari,ID,-0.8667,134.0833,82.38,72,100,4.16,11/15/21
Manzanillo,CU,20.3433,-77.1167,73.13,94,83,7.52,11/15/21
Tura,IN,25.5198,90.2201,76.15,48,0,2.86,11/15/21
Quatre Cocos,MU,-20.2078,57.7625,81.09,61,67,12.03,11/15/21
Pringsewu,ID,-5.3582,104.9744,77.43,90,100,1.88,11/15/21
Umluj,SA,25.0213,37.2685,77.34,59,3,9.73,11/15/21
Saskylakh,RU,71.9167,114.0833,-6.12,94,99,6.58,11/15/21
Takaka,NZ,-40.85,172.8,64.98,75,5,12.26,11/15/21
San Juan,AR,-31.5375,-68.5364,69.71,39,0,9.42,11/15/21
Shizukuishi,JP,39.6833,140.9833,49.98,70,73,7.63,11/15/21
Vaitape,PF,-16.5167,-151.75,76.46,77,100,21.97,11/15/21
Takoradze,GH,4.8845,-1.7554,77.83,87,56,4.81,11/15/21
Yellowknife,CA,62.456,-114.3525,16.32,100,90,10.36,11/15/21
Aldan,RU,58.6031,125.3894,10.06,92,97,4.05,11/15/21
Zyryanka,RU,65.75,150.85,2.73,96,100,6.67,11/15/21
Faya,SA,18.3851,42.4509,66.72,41,0,2.8,11/15/21
Nuevo Progreso,MX,23.1667,-97.95,68.59,88,2,3.76,11/15/21
Husavik,IS,66.0449,-17.3389,35.92,74,47,17.47,11/15/21
Guerrero Negro,MX,27.9769,-114.0611,68.76,58,0,6.96,11/15/21
Sambava,MG,-14.2667,50.1667,81.57,64,1,8.16,11/15/21
Ahipara,NZ,-35.1667,173.1667,64.27,87,0,11.48,11/15/21
Ponta Delgada,PT,37.7333,-25.6667,67.5,88,75,17.27,11/15/21
Kaitangata,NZ,-46.2817,169.8464,59.94,85,93,13.13,11/15/21
