City,Country,Latitude,Longitude,Max Temp (f),Humidity (%),Cloud Cover (%),Wind Speed (mph)
Castro,BR,-24.7911,-50.0119,55.63,92,99,5.73
Ushuaia,AR,-54.8,-68.3,37.06,93,75,25.32
Kutum,SD,14.2,24.6667,68.0,20,0,5.91
East London,ZA,-33.0153,27.9116,68.94,77,0,2.3
Castelo do Piauí,BR,-5.3222,-41.5525,72.63,91,34,2.28
Rikitea,PF,-23.1203,-134.9692,75.0,76,99,15.1
Merauke,ID,-8.4667,140.3333,84.4,75,99,9.24
Upernavik,GL,72.7868,-56.1549,-0.54,75,4,7.2
Esperance,AU,-33.8667,121.9,82.24,42,87,15.52
Saldanha,ZA,-33.0117,17.9442,65.39,74,100,11.05
Hithadhoo,MV,-0.6,73.0833,82.54,72,93,10.89
Puerto Colombia,CO,10.9878,-74.9547,80.69,80,16,17.63
Galeana,MX,24.8333,-100.0667,51.48,78,6,2.17
Pevek,RU,69.7008,170.3133,20.86,90,100,5.17
Mount Isa,AU,-20.7333,139.5,85.77,15,0,12.66
Grand Gaube,MU,-20.0064,57.6608,82.8,64,74,8.99
Lompoc,US,34.6391,-120.4579,72.52,67,1,3.44
Bambous Virieux,MU,-20.3428,57.7575,82.65,65,40,11.5
Hong Kong,HK,22.2855,114.1577,79.21,48,56,1.01
Babstovo,RU,48.1167,132.4833,24.57,58,1,12.59
Cayenne,GF,4.9333,-52.3333,80.1,85,20,1.99
Souillac,MU,-20.5167,57.5167,82.78,65,40,11.5
Kapaa,US,22.0752,-159.319,73.72,68,1,1.01
Bonthe,SL,7.5264,-12.505,76.39,82,70,3.22
Leningradskiy,RU,69.3833,178.4167,14.86,95,100,7.81
Torbay,CA,47.6666,-52.7314,47.57,89,75,27.63
Saskylakh,RU,71.9167,114.0833,-6.12,94,99,6.58
Makkah al Mukarramah,SA,21.4267,39.8261,79.02,61,0,0.69
Dikson,RU,73.5069,80.5464,-7.73,99,99,5.35
Bucerías,MX,20.75,-105.3333,76.98,79,2,4.63
Hermanus,ZA,-34.4187,19.2345,62.91,66,100,0.78
Mataura,NZ,-46.1927,168.8643,54.77,95,100,3.51
Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,40,0,20.71
Punta Arenas,CL,-53.15,-70.9167,41.11,48,75,18.41
Syracuse,IT,37.0881,15.2792,57.31,83,82,5.82
Kroya,ID,-7.6331,109.2461,82.2,72,99,3.38
Bluff,NZ,-46.6,168.3333,54.01,90,98,14.45
Banda Aceh,ID,5.5577,95.3222,85.14,67,81,11.01
Usol'ye-Sibirskoye,RU,52.7519,103.6453,33.42,64,100,4.72
Shitkino,RU,56.3703,98.3543,36.27,84,100,10.38
Berlevåg,NO,70.8578,29.0864,25.84,82,100,23.2
Busselton,AU,-33.65,115.3333,71.98,51,89,12.68
Nikolskoye,RU,59.7035,30.7861,32.02,81,70,1.66
Qasigiannguit,GL,68.8193,-51.1922,12.45,90,99,3.83
Atuona,PF,-9.8,-139.0333,78.48,72,4,16.93
Nānākuli,US,21.3906,-158.1547,78.75,73,20,0.0
Lebu,CL,-37.6167,-73.65,52.12,90,46,11.7
Pangnirtung,CA,66.1451,-65.7125,-1.5,73,2,5.79
Kloulklubed,PW,7.0419,134.2556,86.5,70,50,7.02
Alta Floresta,BR,-9.8756,-56.0861,69.93,95,100,2.15
Kantang,TH,7.4054,99.5156,86.09,79,40,6.91
Severo-Kuril'sk,RU,50.6789,156.125,41.94,96,100,10.71
Pisco,PE,-13.7,-76.2167,60.03,88,71,3.44
Puerto Cabezas,NI,14.0351,-83.3888,75.0,91,93,8.05
Novoagansk,RU,61.9449,76.6625,3.29,95,93,5.77
Tainan City,TW,22.9908,120.2133,85.93,54,75,6.91
Port Alfred,ZA,-33.5906,26.891,71.15,62,95,3.65
Albany,US,42.6001,-73.9662,38.17,90,100,6.33
Hobart,AU,-42.8794,147.3294,50.25,62,20,3.0
Oriximiná,BR,-1.7656,-55.8661,74.88,91,86,2.13
Airai,TL,-8.9266,125.4092,62.08,94,100,2.89
Barrow,US,71.2906,-156.7887,10.42,67,90,12.66
Qiongshan,CN,20.0058,110.3542,84.18,54,40,15.66
Río Gallegos,AR,-51.6226,-69.2181,37.45,81,90,29.93
Qaanaaq,GL,77.484,-69.3632,-6.16,60,50,11.48
Osa,RU,57.2829,55.4567,17.91,88,100,3.15
Kingman,US,35.1894,-114.053,63.88,30,1,8.05
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,100,90,8.95
Butaritari,KI,3.0707,172.7902,82.22,72,14,15.59
Mocuba,MZ,-16.8392,36.9856,85.91,54,99,5.84
Kavaratti,IN,10.5669,72.642,80.47,82,100,17.85
Hilo,US,19.7297,-155.09,75.79,90,20,3.44
Tiksi,RU,71.6872,128.8694,-14.24,98,46,6.8
Sørland,NO,67.667,12.6934,46.47,95,100,32.12
Kavieng,PG,-2.5744,150.7967,84.6,71,69,10.54
Port-Gentil,GA,-0.7193,8.7815,76.96,94,75,2.3
Ambilobe,MG,-13.2,49.05,89.82,40,3,4.03
Zhigansk,RU,66.7697,123.3711,-20.58,99,83,6.24
Vaini,TO,-21.2,-175.2,78.96,78,20,8.05
Aklavik,CA,68.2191,-135.0107,7.63,97,100,2.55
Fort Nelson,CA,58.8053,-122.7002,11.79,85,90,2.3
Overyata,RU,58.0868,55.8709,14.13,82,100,5.32
Shingū,JP,33.7333,135.9833,67.19,54,0,4.21
Marsá Maţrūḩ,EG,31.3525,27.2453,70.0,68,40,9.22
Point Pedro,LK,9.8167,80.2333,84.0,71,43,5.82
Rāmānuj Ganj,IN,23.8,83.7,78.3,58,6,6.13
Jonava,LT,55.0833,24.2833,33.85,91,90,1.99
Shiyan,CN,32.6475,110.7781,63.41,39,44,4.65
Jiujiang,CN,29.7333,115.9833,69.19,30,80,2.17
Ukiah,US,39.1502,-123.2078,61.38,90,1,0.0
Port Elizabeth,ZA,-33.918,25.5701,66.49,82,0,3.44
Troitsko-Pechorsk,RU,62.7084,56.1964,17.51,92,95,7.05
Osorno,CL,-40.5667,-73.15,48.51,87,90,10.36
Nanortalik,GL,60.1432,-45.2371,21.61,60,0,39.88
Manicoré,BR,-5.8092,-61.3003,75.2,93,100,0.63
Sechenovo,RU,55.2244,45.8906,28.69,95,100,14.65
Madang,PG,-5.2246,145.7966,85.1,66,68,5.28
Fayaoué,NC,-20.65,166.5333,80.1,72,49,8.16
Saint-François,FR,46.4154,3.9054,47.48,99,90,0.0
Puerto Ayora,EC,-0.7393,-90.3518,67.19,82,54,8.23
St. George's,GD,12.0564,-61.7485,79.75,79,8,14.67
New Norfolk,AU,-42.7826,147.0587,49.71,66,51,1.99
Yellowknife,CA,62.456,-114.3525,16.32,100,75,8.05
Norman Wells,CA,65.282,-126.8329,3.24,78,75,5.75
Hasaki,JP,35.7333,140.8333,68.4,56,13,9.46
Lüderitz,NA,-26.6481,15.1594,73.6,48,0,15.19
Petatlán,MX,17.5167,-101.2667,71.13,66,6,4.43
Parintins,BR,-2.6283,-56.7358,75.51,86,91,1.14
Jamestown,US,42.097,-79.2353,34.92,96,90,7.0
Karratha,AU,-20.7377,116.8463,91.89,22,60,13.58
Puerto Madryn,AR,-42.7692,-65.0385,58.48,32,82,20.71
Bredasdorp,ZA,-34.5322,20.0403,69.21,51,100,2.1
São Gabriel da Cachoeira,BR,-0.1303,-67.0892,74.19,90,95,1.41
Severnoye,RU,56.3491,78.3619,17.67,90,99,9.86
Alice Springs,AU,-23.7,133.8833,80.15,22,32,9.22
Saint-Pierre,RE,-21.3393,55.4781,85.57,68,0,6.91
Khatanga,RU,71.9667,102.5,-2.13,98,100,5.03
Usevya,TZ,-7.1,31.2333,81.48,43,93,7.45
Acapulco de Juárez,MX,16.8634,-99.8901,75.25,68,8,4.52
Erzin,TR,36.9559,36.2,48.72,29,90,3.42
Saint Paul Harbor,US,57.79,-152.4072,24.31,68,1,3.44
Luanda,AO,-8.8368,13.2343,77.88,80,100,7.87
Camocim,BR,-2.9022,-40.8411,77.41,87,95,8.81
Poum,NC,-20.2333,164.0167,80.49,79,65,12.17
Krasnosel'kup,RU,65.7,82.4667,-3.96,98,84,9.62
Tura,IN,25.5198,90.2201,76.15,48,0,2.86
Cape Town,ZA,-33.9258,18.4232,67.1,79,40,3.0
Turukhansk,RU,65.8167,87.9833,-10.41,98,99,2.57
Novopokrovka,UA,49.8425,36.5477,32.38,82,4,7.43
Calama,CL,-22.4667,-68.9333,43.29,26,5,14.97
Broken Hill,AU,-31.95,141.4333,65.91,37,75,16.11
Avarua,CK,-21.2078,-159.775,75.25,73,40,2.3
Province of Mantua,IT,45.1667,10.7833,57.72,84,100,11.99
Rockville,US,39.084,-77.1528,44.55,76,75,4.0
Tuktoyaktuk,CA,69.4541,-133.0374,6.8,85,75,9.22
Kiryat Gat,IL,31.61,34.7642,69.91,31,48,3.44
Kodinsk,RU,58.6881,99.1844,29.95,95,100,3.06
Cherskiy,RU,68.75,161.3,1.87,98,95,0.65
Tasiilaq,GL,65.6145,-37.6368,30.36,57,45,10.94
Myre,NO,69.1036,15.9492,44.51,89,100,31.54
Liverpool,GB,53.4106,-2.9779,51.51,89,90,3.0
Makakilo City,US,21.3469,-158.0858,77.32,72,20,0.0
Kaili,ID,-3.4626,120.2147,78.03,74,97,2.57
Saravan,AM,39.7196,45.6483,25.45,29,97,1.92
Swan Hill,AU,-35.3378,143.5544,61.72,36,99,17.31
Kibala,TD,9.1104,18.3463,73.35,94,0,0.0
Sydney,AU,-33.8679,151.2073,72.34,37,0,3.0
La Ronge,CA,55.1001,-105.2842,30.45,93,90,1.14
Carnarvon,AU,-24.8667,113.6333,77.07,57,1,20.71
La Santisima Trinidad,BO,-14.8333,-64.9,73.24,98,99,3.47
Jardim do Seridó,BR,-6.5844,-36.7744,76.86,74,46,12.59
Mayumba,GA,-3.432,10.6554,76.69,89,99,1.99
Bima,ID,-8.4667,118.7167,84.31,73,99,1.5
Hastings,GB,50.8552,0.5729,51.33,91,100,6.93
Korampallam,IN,8.7667,78.1,86.29,66,40,6.91
Nishihara,JP,26.1842,127.7558,76.68,46,20,12.66
Hamilton,US,39.1834,-84.5333,36.37,76,20,4.0
Acaraú,BR,-2.8856,-40.12,79.03,83,59,12.68
Nemuro,JP,43.3236,145.575,45.03,72,79,10.87
Yacuiba,BO,-22.038,-63.6797,65.37,95,100,3.18
Lavrentiya,RU,65.5833,-171.0,11.88,94,84,6.96
Collie,AU,-33.3667,116.15,82.22,27,82,7.99
Görele,TR,41.0308,39.0031,54.84,66,90,4.79
Phra Nakhon Si Ayutthaya,TH,14.2833,100.5,89.02,66,42,5.55
Raja,SS,8.4596,25.678,81.48,24,31,5.48
Fougamou,GA,-1.2154,10.5838,73.04,94,57,0.89
Calvinia,ZA,-31.4707,19.776,77.41,21,13,2.64
Bonavista,CA,48.6499,-53.1147,48.11,89,70,20.89
Monrovia,LR,6.3005,-10.7969,76.21,86,26,4.34
İdil,TR,37.3411,41.8895,58.08,30,100,2.64
Bandarbeyla,SO,9.4942,50.8122,81.25,61,49,11.18
Adrar,MR,20.5022,-10.0711,69.85,36,17,8.84
Buala,SB,-8.145,159.5921,83.91,72,78,5.73
Boddam,GB,57.4667,-1.7833,51.39,92,100,2.95
Kapit,MY,2.0167,112.9333,89.2,59,100,1.48
Broome,US,42.2506,-75.833,37.62,77,90,1.99
Rawson,AR,-43.3002,-65.1023,57.76,28,97,20.22
Beijing,CN,39.9075,116.3972,49.89,42,48,3.83
Slave Lake,CA,55.2834,-114.769,30.18,100,90,4.61
Henties Bay,NA,-22.116,14.2845,59.86,79,93,9.42
Armizonskoye,RU,55.9461,67.6736,16.05,77,66,7.58
Teguise,ES,29.0605,-13.564,59.22,77,0,6.91
Limbang,MY,4.75,115.0,86.31,87,98,2.77
Şurmān,LY,32.7567,12.5716,60.82,46,0,9.93
Batemans Bay,AU,-35.7167,150.1833,63.99,39,73,2.77
Nelson Bay,AU,-32.7167,152.15,75.76,36,12,4.0
Lashio,MM,22.9333,97.75,75.13,71,93,3.27
Lithakia,GR,37.7167,20.8333,61.59,91,100,15.08
Washington,US,47.5001,-120.5015,60.66,47,97,6.38
Piaçabuçu,BR,-10.4056,-36.4344,75.94,87,83,7.61
Caravelas,BR,-17.7125,-39.2481,69.89,74,97,7.38
Eureka,US,40.8021,-124.1637,56.68,95,100,2.51
Nādbai,IN,27.2333,77.2,77.4,26,0,0.65
Halifax,CA,44.6453,-63.5724,42.85,87,73,3.44
Lata,PT,40.1629,-8.3327,48.81,58,0,3.69
Charcas,MX,23.1333,-101.1167,53.22,67,25,3.89
Isabela,PH,6.7085,121.9711,83.17,78,91,1.77
Beloha,MG,-25.1667,45.05,82.76,47,10,8.72
Sabha,LY,27.0377,14.4283,62.06,61,97,8.68
Gwadar,PK,25.1216,62.3254,78.76,27,0,15.97
Chui,UY,-33.6971,-53.4616,62.11,94,7,4.7
Ilulissat,GL,69.2167,-51.1,12.22,67,20,12.66
Chokurdakh,RU,70.6333,147.9167,1.47,97,100,0.54
Menongue,AO,-14.6585,17.691,67.96,76,100,1.12
Rūdsar,IR,37.1376,50.288,60.78,74,27,7.94
Aksarka,RU,66.5606,67.7975,1.54,96,80,6.64
Basco,PH,20.4487,121.9702,78.55,77,93,27.22
Mahébourg,MU,-20.4081,57.7,82.69,65,40,11.5
Noumea,NC,-22.2763,166.4572,87.01,99,55,5.55
Nara,JP,34.6851,135.8049,67.91,42,2,4.47
Businga,CD,3.3333,20.8833,73.53,94,99,0.58
Kristiansund,NO,63.1115,7.732,39.85,81,75,6.91
Zabid,YE,14.1951,43.3152,83.71,47,3,3.62
Cooma,AU,-36.2333,149.1333,49.77,57,90,14.97
Codrington,AU,-38.2667,141.9667,53.06,56,87,17.16
Laguna,US,38.421,-121.4238,61.21,95,90,0.0
Chickasha,US,35.0526,-97.9364,48.79,54,41,8.7
Syriam,MM,16.7722,96.2378,89.71,66,40,4.61
Santa Maria,BR,-29.6842,-53.8069,65.93,96,92,4.81
Yinzhu,CN,35.8786,119.9753,62.62,47,90,2.89
Fairbanks,US,64.8378,-147.7164,-6.7,79,75,3.44
Tabuk,PH,17.4189,121.4443,81.55,78,84,9.1
Gray,US,35.4167,-100.802,52.52,47,48,11.97
Sinnamary,GF,5.3833,-52.95,77.07,87,91,7.31
Houma,US,29.5958,-90.7195,53.98,91,0,3.2
Río Cuarto,AR,-33.1307,-64.3499,59.67,51,0,14.45
Ponta do Sol,PT,32.6667,-17.1,66.83,65,42,5.14
Lagoa,PT,39.05,-27.9833,66.83,86,65,23.94
College,US,64.8569,-147.8028,-2.54,79,75,3.44
Biloela,AU,-24.4167,150.5,83.79,23,0,10.07
Sorong,ID,-0.8833,131.25,82.09,76,100,8.14
Tuatapere,NZ,-46.1333,167.6833,54.14,81,100,4.81
Tautira,PF,-17.7333,-149.15,80.62,74,100,2.57
Conakry,GN,9.538,-13.6773,78.87,94,75,2.3
São Filipe,CV,14.8961,-24.4956,75.81,75,44,8.05
Longyearbyen,SJ,78.2186,15.6401,17.44,62,20,20.71
Preobrazheniye,RU,42.9019,133.9064,39.79,38,2,8.08
Bethel,US,41.3712,-73.414,42.89,86,90,3.44
Mossamedes,AO,-15.1961,12.1522,74.21,80,100,4.63
Hammerfest,NO,70.6634,23.6821,32.45,64,75,10.36
Trenggalek,ID,-8.05,111.7167,81.25,81,100,1.81
Palauig,PH,15.435,119.9045,86.5,69,50,7.92
Anadyr,RU,64.75,177.4833,30.7,86,75,15.66
Coquimbo,CL,-29.9533,-71.3436,55.13,94,20,5.75
Ningyang,CN,35.7642,116.7914,61.43,35,57,3.22
Warrnambool,AU,-38.3833,142.4833,51.66,62,94,17.09
Shanghai,CN,31.2222,121.4581,69.87,35,0,6.71
Umluj,SA,25.0213,37.2685,77.34,59,3,9.73
Alyangula,AU,-13.8483,136.4192,87.67,37,100,10.36
Dingle,PH,10.9995,122.6711,83.84,78,99,10.45
Vanavara,RU,60.34,102.2797,23.76,92,100,6.15
Djibo,BF,14.1022,-1.6306,75.65,23,100,10.4
Thompson,CA,55.7435,-97.8558,23.16,86,90,3.44
Whitecourt,CA,54.1502,-115.6855,29.44,100,90,5.75
Husavik,IS,66.0449,-17.3389,37.31,74,47,17.47
Mar del Plata,AR,-38.0023,-57.5575,62.87,88,0,17.0
Richards Bay,ZA,-28.783,32.0377,74.01,71,94,9.89
Novelda,ES,38.3848,-0.7677,56.08,61,0,12.75
George Town,MY,5.4112,100.3354,89.89,70,20,7.0
Edgewater,US,28.9889,-80.9023,56.01,54,25,9.4
Olafsvik,IS,64.8945,-23.7142,40.15,67,98,36.08
Kulhudhuffushi,MV,6.6221,73.07,81.34,80,100,22.62
Briançon,FR,44.9,6.65,39.51,98,100,5.32
Sohbatpur,PK,28.5202,68.5434,83.07,7,0,1.16
Hoquiam,US,46.9809,-123.8893,59.52,68,90,27.63
Pachino,IT,36.7186,15.0907,50.04,82,90,10.4
Harper,LR,4.375,-7.7169,77.04,87,52,2.73
Westport,US,41.1415,-73.3579,44.76,84,90,1.01
Klaksvík,FO,62.2266,-6.589,45.52,78,33,27.25
Teknāf,BD,20.8624,92.3058,84.34,68,76,6.02
Joshīmath,IN,30.5667,79.5667,61.43,17,0,7.49
Qinhuangdao,CN,39.9317,119.5883,47.07,34,100,5.46
Hurghada,EG,27.2574,33.8129,66.24,63,0,0.0
Tromsø,NO,69.6496,18.957,35.62,87,75,3.0
Qaqortoq,GL,60.7167,-46.0333,9.1,56,0,22.46
